WILD,WILDv57,WILDIntanmapped,WILDv57Intanmapped
0,1,31,0
1,2,0,1
2,3,29,30
3,4,2,3
4,5,27,28
5,6,4,5
6,7,25,26
7,8,6,7
8,9,23,24
9,10,8,9
10,11,21,22
11,12,10,11
12,13,19,20
13,14,12,13
14,15,17,18
15,16,14,15
16,17,16,17
17,18,15,16
18,19,18,19
19,20,13,14
20,21,20,21
21,22,11,12
22,23,22,23
23,24,9,10
24,25,24,25
25,26,7,8
26,27,26,27
27,28,5,6
28,29,28,29
29,30,3,4
30,31,30,31
31,0,1,2
32,32,32,32
33,33,60,60
34,34,33,33
35,35,58,58
36,36,35,35
37,37,56,56
38,38,37,37
39,39,54,54
40,40,39,39
41,41,52,52
42,42,41,41
43,43,50,50
44,44,43,43
45,45,48,48
46,46,45,45
47,47,47,47
48,48,49,49
49,49,51,51
50,50,46,46
51,51,53,53
52,52,44,44
53,53,55,55
54,54,42,42
55,55,57,57
56,56,40,40
57,57,59,59
58,58,38,38
59,59,61,61
60,60,36,36
61,61,63,63
62,62,34,34
63,63,62,62
