written_utc,animal,session,probe,mode,n_units,spikes_per_unit,top_k,rank,variant,rot_bank0,rot_bank1,spread_topk_um,spread_um,spread_median_um,same_shank_frac,within_100um_frac,repo_git
2026-09-04T19:50:22+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,1,v1_raw,1,0,84.29,178.73,150.98,0.8429,0.6445,94ef5a6+dirty
2026-09-04T19:50:22+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,2,v3_fliplr,1,0,90.19,182.67,155.6,0.8429,0.6066,94ef5a6+dirty
2026-09-04T19:50:22+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,3,B180,1,0,93.45,190.03,162.47,0.8429,0.6434,94ef5a6+dirty
2026-09-04T19:50:22+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,4,m+B180,1,0,97.53,191.52,165.2,0.8429,0.6057,94ef5a6+dirty
2026-09-04T19:50:22+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,5,v1_raw,-1,0,104.48,194.99,168.84,0.8316,0.6147,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,6,v1_raw,3,0,107.85,199.73,177.87,0.8222,0.6112,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,7,v3_fliplr,-1,0,108.02,197.48,171.04,0.8316,0.5946,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,8,B180,0,0,109.49,202.84,187.95,0.8388,0.6143,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,9,v1_raw,0,0,109.52,200.91,179.54,0.8388,0.6168,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,10,v3_fliplr,3,0,111.44,201.91,181.58,0.8222,0.593,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,11,v1_raw,-2,0,112.19,202.57,180.98,0.8237,0.6142,94ef5a6+dirty
2026-09-04T19:50:23+00:00,SF07,15_20260902_082418.755,A4x16-Lin-5mm-50s-300,units,120,200,6,12,B180,2,0,112.88,203.68,187.29,0.8282,0.6157,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,1,v1_raw,1,0,172.74,260.85,236.17,0.7844,0.4632,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,2,v3_fliplr,1,0,174.42,262.55,239.9,0.7844,0.4621,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,3,B180,1,0,175.15,263.81,228.92,0.7844,0.4662,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,4,m+B180,1,0,178.04,267.77,227.13,0.7844,0.4657,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,5,m+A180+B180,1,0,178.13,263.44,224.5,0.7844,0.4567,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,6,A180+B180,1,0,178.34,263.11,237.24,0.7844,0.4504,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,7,m+A180,1,0,180.29,268.65,242.84,0.7844,0.453,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,8,A180,1,0,181.53,270.75,255.38,0.7844,0.4474,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,9,v1_raw,1,-2,187.16,273.56,242.98,0.7358,0.4574,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,10,v3_fliplr,1,-2,189.05,275.06,258.16,0.7358,0.4557,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,11,B180,0,0,189.13,270.02,233.85,0.7717,0.459,94ef5a6+dirty
2026-09-04T19:50:26+00:00,SF08,13_20260902_082748.094,A4x16-Lin-5mm-50s-300,units,147,200,6,12,A180+B180,3,0,190.18,272.81,246.86,0.7223,0.4514,94ef5a6+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,1,m+swap,-3,-3,184.6,251.61,238.98,0.4477,0.3697,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,2,m+swap,1,-3,184.72,246.85,239.32,0.4746,0.3812,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,3,m+swap+A180,1,-3,185.75,240.0,204.21,0.4954,0.3715,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,4,swap+A180,1,-3,187.66,242.35,209.84,0.4954,0.364,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,5,swap,1,-3,188.99,251.46,246.06,0.4746,0.3627,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,6,m+B180,0,-4,189.09,251.79,245.62,0.4787,0.3779,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,7,swap,-3,-3,189.46,255.67,243.96,0.4477,0.3669,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,8,B180,0,-4,189.62,252.3,253.24,0.4787,0.392,9c82df8+dirty
2026-09-04T21:03:32+00:00,SF09,10_20260902_083015.335,A5x12_16-Buz_lin-5mm-100-200-160_177,units,60,200,6,9,A180,4,-2,189.71,249.99,232.83,0.4229,0.379,9c82df8+dirty
