animal,window,session,channel,spike_band_mad_adc,theta_ratio,spindle_ratio,delta_frac,log_gamma,swr_rate_per_min,swr_peak_freq_hz,swr_dur_ms,swr_peak_z
SF07,active night,14_20260904_201825.406,0,114.1,10.262,0.078,2.761,2.919,34.4,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,1,114.0,8.124,0.092,3.57,2.907,34.7,162.4,26.4,5.9
SF07,active night,14_20260904_201825.406,2,116.4,7.981,0.092,3.581,2.911,34.3,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,3,114.1,7.907,0.1,3.621,2.965,33.5,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,4,112.3,8.033,0.092,3.593,2.908,32.8,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,5,113.7,7.614,0.096,3.776,2.914,33.4,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,6,113.7,7.37,0.097,4.049,2.915,33.9,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,7,117.6,8.415,0.091,3.383,2.906,35.7,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,8,112.5,7.143,0.1,4.022,2.917,33.8,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,9,113.7,6.737,0.102,4.279,2.913,34.2,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,10,116.2,6.775,0.104,4.207,2.92,33.1,162.4,26.4,6.1
SF07,active night,14_20260904_201825.406,11,120.0,8.92,0.087,3.219,2.914,34.3,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,12,111.1,7.269,0.098,4.055,2.913,34.2,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,13,112.9,7.77,0.095,3.653,2.912,33.9,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,14,113.1,7.914,0.093,3.645,2.91,33.2,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,15,111.9,9.766,0.081,2.886,2.919,34.8,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,16,114.8,9.558,0.081,3.023,2.912,34.2,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,17,112.8,7.627,0.102,3.757,2.956,33.0,161.7,26.4,6.0
SF07,active night,14_20260904_201825.406,18,112.3,8.714,0.085,3.313,2.912,33.1,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,19,115.8,9.912,0.079,2.9,2.916,33.8,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,20,115.2,8.085,0.088,3.644,2.912,33.8,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,21,114.6,8.88,0.084,3.224,2.91,35.1,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,22,113.2,7.299,0.092,3.993,2.907,33.7,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,23,115.2,8.235,0.088,3.512,2.911,33.4,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,24,113.9,7.891,0.089,3.75,2.911,33.3,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,25,121.9,7.295,0.096,3.834,2.925,35.3,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,26,117.2,8.471,0.087,3.523,2.915,34.8,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,27,114.6,7.77,0.09,3.658,2.909,33.4,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,28,114.1,9.309,0.082,3.099,2.913,33.6,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,29,114.4,8.341,0.087,3.539,2.912,33.7,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,30,115.2,10.53,0.077,2.793,2.928,35.1,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,31,114.9,9.079,0.083,3.199,2.91,34.0,161.7,26.8,6.1
SF07,active night,14_20260904_201825.406,32,116.8,9.384,0.084,3.153,2.918,33.5,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,33,115.8,8.148,0.098,3.489,2.983,33.7,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,34,113.2,9.32,0.088,3.16,2.991,34.3,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,35,114.4,7.268,0.105,3.853,2.958,34.5,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,36,125.2,7.573,0.104,3.639,3.014,35.5,162.4,27.2,6.0
SF07,active night,14_20260904_201825.406,37,115.4,6.806,0.109,4.256,2.95,34.0,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,38,114.3,8.059,0.099,3.527,2.974,33.2,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,39,122.7,8.358,0.098,3.428,3.004,33.9,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,40,122.1,6.824,0.116,3.937,2.99,34.0,162.4,27.2,5.9
SF07,active night,14_20260904_201825.406,41,116.6,7.663,0.102,3.652,2.967,33.4,161.7,26.4,6.0
SF07,active night,14_20260904_201825.406,42,113.1,7.21,0.105,4.001,2.953,33.9,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,43,116.0,8.929,0.091,3.252,2.999,35.0,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,44,113.9,6.708,0.108,4.344,2.94,33.9,162.4,26.4,5.9
SF07,active night,14_20260904_201825.406,45,121.2,8.615,0.095,3.349,3.003,34.0,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,46,113.4,7.095,0.106,4.017,2.952,33.3,161.1,26.4,6.0
SF07,active night,14_20260904_201825.406,47,122.9,6.936,0.099,4.551,2.942,37.2,161.1,26.4,5.8
SF07,active night,14_20260904_201825.406,48,119.0,7.677,0.111,3.614,3.114,34.4,162.4,27.2,6.0
SF07,active night,14_20260904_201825.406,49,119.3,7.602,0.112,3.71,3.113,34.9,161.1,27.2,5.9
SF07,active night,14_20260904_201825.406,50,123.2,7.309,0.115,3.828,3.072,33.8,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,51,123.9,7.061,0.118,3.953,3.065,33.4,161.7,26.4,5.9
SF07,active night,14_20260904_201825.406,52,118.9,6.572,0.123,4.246,3.032,33.7,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,53,119.7,6.783,0.119,4.136,3.016,33.6,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,54,118.9,6.532,0.119,4.408,2.983,33.4,162.4,26.4,6.0
SF07,active night,14_20260904_201825.406,55,119.5,6.292,0.121,4.448,2.974,33.5,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,56,119.5,6.633,0.119,4.24,2.993,34.5,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,57,118.9,6.717,0.119,4.233,3.004,33.9,162.4,26.4,5.9
SF07,active night,14_20260904_201825.406,58,124.2,6.55,0.125,4.101,3.045,33.8,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,59,124.4,6.815,0.122,4.024,3.057,34.6,161.1,26.4,5.8
SF07,active night,14_20260904_201825.406,60,125.8,7.392,0.113,3.837,3.084,34.4,162.4,25.6,6.0
SF07,active night,14_20260904_201825.406,61,121.2,7.565,0.112,3.594,3.101,35.0,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,62,121.3,7.937,0.107,3.594,3.108,34.5,161.1,26.4,5.9
SF07,active night,14_20260904_201825.406,63,125.7,8.175,0.105,3.463,3.11,35.6,161.7,26.4,5.9
SF07,rest night,14_20260904_201825.406,0,41.2,0.813,0.705,15.977,2.639,51.1,153.8,32.0,7.7
SF07,rest night,14_20260904_201825.406,1,42.7,0.724,0.705,17.055,2.597,34.4,152.6,29.6,6.3
SF07,rest night,14_20260904_201825.406,2,48.5,0.726,0.703,16.997,2.61,29.8,153.8,30.4,6.3
SF07,rest night,14_20260904_201825.406,3,38.1,0.749,0.722,16.174,2.665,46.2,152.6,32.0,6.8
SF07,rest night,14_20260904_201825.406,4,39.8,0.719,0.707,17.06,2.6,35.0,153.8,30.0,6.2
SF07,rest night,14_20260904_201825.406,5,43.4,0.706,0.714,17.017,2.608,28.0,153.8,28.0,6.0
SF07,rest night,14_20260904_201825.406,6,38.8,0.7,0.713,17.512,2.611,29.1,152.6,28.8,5.9
SF07,rest night,14_20260904_201825.406,7,48.1,0.738,0.702,16.757,2.602,34.5,153.8,30.4,6.6
SF07,rest night,14_20260904_201825.406,8,38.4,0.699,0.716,17.059,2.618,22.0,151.4,28.4,5.9
SF07,rest night,14_20260904_201825.406,9,40.7,0.694,0.714,17.248,2.619,19.8,151.4,27.2,5.3
SF07,rest night,14_20260904_201825.406,10,49.3,0.697,0.715,17.022,2.643,11.6,153.8,25.6,5.3
SF07,rest night,14_20260904_201825.406,11,49.7,0.769,0.694,16.874,2.611,38.6,153.8,29.6,6.6
SF07,rest night,14_20260904_201825.406,12,43.9,0.7,0.715,17.378,2.614,21.3,151.4,28.8,5.7
SF07,rest night,14_20260904_201825.406,13,38.2,0.711,0.712,16.905,2.606,31.2,152.6,29.2,6.0
SF07,rest night,14_20260904_201825.406,14,38.5,0.707,0.711,17.011,2.604,34.4,152.6,28.8,6.1
SF07,rest night,14_20260904_201825.406,15,36.6,0.8,0.684,16.415,2.617,52.4,152.6,32.0,7.5
SF07,rest night,14_20260904_201825.406,16,44.3,0.78,0.711,16.439,2.632,45.0,153.8,31.2,7.1
SF07,rest night,14_20260904_201825.406,17,38.0,0.736,0.723,16.432,2.652,40.9,151.4,29.6,6.4
SF07,rest night,14_20260904_201825.406,18,38.1,0.737,0.721,16.55,2.635,36.0,153.8,30.4,6.6
SF07,rest night,14_20260904_201825.406,19,42.4,0.79,0.71,16.21,2.64,47.7,155.0,31.2,7.4
SF07,rest night,14_20260904_201825.406,20,44.0,0.719,0.727,16.847,2.641,28.5,152.6,28.0,6.1
SF07,rest night,14_20260904_201825.406,21,37.5,0.75,0.717,16.477,2.631,38.4,153.8,30.8,6.6
