animal,window,session,state_mad,theta_max,theta_median,spindle_max,delta_frac_median,swr_rate_best_ch,swr_best_ch,swr_freq_best_ch,swr_dur_best_ch,swr_peakz_best_ch,n_ch_swr_rate_ge_5,swr_rate_median_ch
SF07,active night,14_20260904_201825.406,115.6,10.53,7.72,0.12,3.65,37.2,47,161.0,26.0,5.8,64,33.9
SF07,rest night,14_20260904_201825.406,43.8,0.82,0.74,0.75,16.53,67.7,63,151.0,34.0,8.8,64,36.1
SF07,rest day,2_20260905_093310.289,40.5,1.23,1.04,0.72,12.27,55.7,34,154.0,34.0,8.6,64,37.0
SF08,active night,7_20260904_202056.765,72.6,10.35,6.88,0.61,4.81,67.1,4,155.0,27.0,5.8,63,59.6
SF08,rest night,7_20260904_202056.765,48.5,0.67,0.55,0.79,19.04,76.3,17,161.0,31.0,8.1,62,22.4
SF08,rest day,2_20260905_093534.819,51.6,2.1,1.55,0.7,9.69,41.4,17,161.0,32.0,8.0,62,16.5
SF09,active night,8_20260904_202324.405,94.1,4.74,3.09,0.64,7.7,36.3,8,157.0,26.0,5.8,56,30.7
SF09,rest night,8_20260904_202324.405,105.2,2.27,1.54,0.71,10.81,31.8,61,164.0,25.0,5.6,64,28.6
SF09,rest day,3_20260905_094705.608,53.1,1.22,1.09,0.77,11.8,62.5,48,157.0,36.0,10.2,54,49.1
SF10,active night,9_20260904_202620.386,85.2,7.16,5.12,0.72,5.96,37.4,34,157.0,26.0,5.4,64,27.2
SF10,rest night,9_20260904_202620.386,50.1,1.55,0.98,0.87,14.8,62.1,39,156.0,37.0,9.8,58,22.5
SF10,rest day,7_20260905_093927.479,47.6,1.01,0.74,1.0,15.36,71.8,7,156.0,36.0,9.2,64,35.5
SF11,active night,12_20260904_202856.246,82.6,2.96,2.49,0.38,10.32,46.7,49,156.0,28.0,6.0,64,44.0
SF11,rest night,12_20260904_202856.246,51.0,0.68,0.45,0.85,22.87,56.4,34,153.0,30.0,6.2,64,15.0
SF11,rest day,3_20260905_094205.930,50.0,0.77,0.51,0.81,21.18,49.0,51,154.0,30.0,6.1,64,14.1
SF12,active night,8_20260904_203130.725,114.4,8.28,7.21,0.21,4.14,34.4,24,157.0,26.0,5.8,64,33.3
SF12,rest night,8_20260904_203130.725,37.7,1.75,1.42,0.58,13.36,50.7,2,161.0,34.0,9.1,64,31.9
SF12,rest day,2_20260905_094454.579,38.9,0.98,0.79,0.85,14.47,69.2,55,159.0,34.0,9.1,64,31.4
