animal,session,duration_h,firmware,status,post_mode,shank,stage,ks4_units,final_clusters,good,mua,unsorted,noise,candidate_units,lt3hz_units,lt3hz_well_isolated,ge3hz_units,well_isolated,spikes_total,median_rate_hz_candidates,median_amp_uV_candidates,median_snr_candidates
SF07,15_20260902_082418.755,8.51,65,done (full),,1,post,47,63,0,0,27,36,27,22,2,5,5,1513790,0.398,44.7,4.24
SF07,15_20260902_082418.755,8.51,65,done (full),,2,post,44,60,0,0,13,47,13,13,1,0,1,199708,0.1,30.0,3.25
SF07,15_20260902_082418.755,8.51,65,done (full),,3,post,69,55,0,0,19,36,19,19,2,0,2,173220,0.178,32.6,3.33
SF07,15_20260902_082418.755,8.51,65,done (full),,4,post,67,39,0,0,11,28,11,11,1,0,1,115620,0.079,32.4,3.3
SF08,13_20260902_082748.094,9.88,65,done (fast),fast,1,post,69,67,0,0,45,22,45,43,0,2,0,1411199,0.225,21.4,2.26
SF08,13_20260902_082748.094,9.88,65,done (fast),fast,2,post,49,48,0,0,31,17,31,26,2,5,2,1875650,0.09,30.0,3.32
SF08,13_20260902_082748.094,9.88,65,done (fast),fast,3,post,92,56,0,0,42,14,42,39,2,3,2,1238487,0.0,28.3,2.98
SF08,13_20260902_082748.094,9.88,65,done (fast),fast,4,post,75,56,0,0,42,14,42,38,0,4,0,1661764,0.149,25.2,2.5
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,1,post,26,26,0,0,21,5,21,19,2,2,3,819030,0.197,29.3,2.65
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,2,post,31,28,0,0,23,5,23,22,2,1,2,962606,0.0,29.3,2.56
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,3,post,8,8,0,0,5,3,5,3,0,2,0,721263,2.386,26.5,2.16
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,4,post,8,8,0,0,7,1,7,6,0,1,0,492588,1.365,34.5,2.88
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,5,post,8,8,0,0,7,1,7,7,0,0,0,236996,1.18,44.8,3.4
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,6,post,6,6,0,0,6,0,6,6,0,0,0,106395,0.298,39.2,3.13
SF09,10_20260902_083015.335,8.47,65,done (fast),fast,7,post,3,3,0,0,3,0,3,3,0,0,0,46605,0.484,48.2,3.39
