written_utc,animal,session,minutes,n_ripples,n_live,rank,variant,rot_bank0,rot_bank1,spw_tv,ripple_tv,flips,current_xml_tv,repo_git
2026-09-08T17:21:35+00:00,SF07,15_20260902_082418.755,30.0,870,64,1,v1_raw,1,0,3.081,2.983,0.0,3.081,60f3478+dirty
2026-09-08T17:21:35+00:00,SF07,15_20260902_082418.755,30.0,870,64,2,B180,1,0,3.089,2.952,0.0,3.081,60f3478+dirty
2026-09-08T17:21:35+00:00,SF07,15_20260902_082418.755,30.0,870,64,3,v4_flipud,0,1,3.315,3.434,0.0,3.081,60f3478+dirty
2026-09-08T17:21:35+00:00,SF07,15_20260902_082418.755,30.0,870,64,4,v2_rot180,0,1,3.343,3.389,0.0,3.081,60f3478+dirty
2026-09-08T17:21:35+00:00,SF07,15_20260902_082418.755,30.0,870,64,5,m+swap+B180,0,1,3.461,3.532,0.0,3.081,60f3478+dirty
2026-09-08T17:21:35+00:00,SF07,15_20260902_082418.755,30.0,870,64,6,v4_flipud,0,-1,3.505,3.646,0.0,3.081,60f3478+dirty
2026-09-08T17:22:48+00:00,SF10,9_20260902_083247.835,30.0,1374,61,1,v1_raw,1,1,2.18,2.691,0.67,2.696,60f3478+dirty
2026-09-08T17:22:48+00:00,SF10,9_20260902_083247.835,30.0,1374,61,2,A180,1,1,2.223,2.746,0.67,2.696,60f3478+dirty
2026-09-08T17:22:48+00:00,SF10,9_20260902_083247.835,30.0,1374,61,3,v3_fliplr,1,1,2.258,2.795,0.67,2.696,60f3478+dirty
2026-09-08T17:22:48+00:00,SF10,9_20260902_083247.835,30.0,1374,61,4,m+A180,1,1,2.26,2.879,0.67,2.696,60f3478+dirty
2026-09-08T17:22:48+00:00,SF10,9_20260902_083247.835,30.0,1374,61,5,v3_fliplr,0,1,2.339,3.872,1.0,2.696,60f3478+dirty
2026-09-08T17:22:48+00:00,SF10,9_20260902_083247.835,30.0,1374,61,6,v2_rot180,1,1,2.35,4.044,1.33,2.696,60f3478+dirty
2026-09-08T17:25:06+00:00,SF08,13_20260902_082748.094,30.0,1355,63,1,m+swap+A180,1,0,3.289,4.394,2.5,4.02,60f3478+dirty
2026-09-08T17:25:06+00:00,SF08,13_20260902_082748.094,30.0,1355,63,2,m+swap,1,0,3.326,4.12,2.25,4.02,60f3478+dirty
2026-09-08T17:25:06+00:00,SF08,13_20260902_082748.094,30.0,1355,63,3,m+swap+B180,-1,-1,3.417,3.658,1.75,4.02,60f3478+dirty
2026-09-08T17:25:06+00:00,SF08,13_20260902_082748.094,30.0,1355,63,4,m+swap,1,1,3.44,3.988,2.5,4.02,60f3478+dirty
2026-09-08T17:25:06+00:00,SF08,13_20260902_082748.094,30.0,1355,63,5,m+swap+A180,-1,0,3.462,3.721,2.25,4.02,60f3478+dirty
2026-09-08T17:26:23+00:00,SF11,12_20260902_083534.755,30.0,1446,64,1,swap+B180,-1,1,3.433,3.476,0.0,4.053,60f3478+dirty
2026-09-08T17:26:23+00:00,SF11,12_20260902_083534.755,30.0,1446,64,2,swap+B180,-1,-1,3.529,3.133,0.0,4.053,60f3478+dirty
2026-09-08T17:26:23+00:00,SF11,12_20260902_083534.755,30.0,1446,64,3,m+swap,-1,1,3.56,3.593,0.0,4.053,60f3478+dirty
2026-09-08T17:26:23+00:00,SF11,12_20260902_083534.755,30.0,1446,64,4,m+swap+A180,-1,1,3.591,3.696,0.0,4.053,60f3478+dirty
2026-09-08T17:26:23+00:00,SF11,12_20260902_083534.755,30.0,1446,64,5,swap,1,1,3.603,3.646,0.0,4.053,60f3478+dirty
2026-09-08T17:27:40+00:00,SF12,11_20260902_083748.804,30.0,1258,64,1,swap,1,1,3.092,3.617,3.75,4.352,60f3478+dirty
2026-09-08T17:27:40+00:00,SF12,11_20260902_083748.804,30.0,1258,64,2,m+swap+B180,-1,-1,3.124,4.28,3.0,4.352,60f3478+dirty
2026-09-08T17:27:41+00:00,SF12,11_20260902_083748.804,30.0,1258,64,3,swap+A180,1,1,3.183,3.743,4.0,4.352,60f3478+dirty
2026-09-08T17:27:41+00:00,SF12,11_20260902_083748.804,30.0,1258,64,4,swap+B180,-1,-1,3.203,4.355,3.75,4.352,60f3478+dirty
2026-09-08T17:27:41+00:00,SF12,11_20260902_083748.804,30.0,1258,64,5,swap,-1,1,3.241,4.033,4.25,4.352,60f3478+dirty
