animal,session,firmware,start,end,duration_s,gap_from_previous_min,previous_session,measured_verdict,ticks_per_s,tick_removal_frac,regime_by_window,pc_time,anchors_kept,drift_ppm,residual_rms_ms,notes
SF07,0_20260831_185816.804,64,2026-08-31 18:58:16.804,2026-08-31 18:58:49,33.869,,,clean,0.5,1.0,"normal,normal,normal,normal,normal","start cluster only (8 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",8,,,measured clean on the probe window despite pre-FM65 firmware (de-glitch anyway)
SF07,1_20260831_185904.795,64,2026-08-31 18:59:04.795,2026-09-01 00:20:34,19290.982,0.24,0_20260831_185816.804,ambiguous,6.23,1.0,"normal,normal,normal,normal,normal","OK: 214 anchors, drift -23.9 ± 0.6 ppm, residual 33 ms",214,-23.9,32.7,
SF07,2_20260901_002100.939,64,2026-09-01 00:21:00.939,2026-09-01 05:41:07,19207.104,0.42,1_20260831_185904.795,glitchy,13.0,0.975,"normal,normal,normal,normal,normal",OK (chained next:4): drift -23.2 ± 78 ppm; start offset known to BLE precision,21,-23.2,,
SF07,3_20260901_054126.846,64,2026-09-01 05:41:26.846,2026-09-01 06:36:23,3297.357,0.31,2_20260901_002100.939,glitchy,13.1,0.94,"normal,normal,normal,normal,normal","start cluster only (4 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",22,,,
SF07,4_20260901_074925.529,64,2026-09-01 07:49:25.529,2026-09-01 07:50:42,77.965,73.03,3_20260901_054126.846,ambiguous,1.6,1.0,"normal,normal,normal,normal,normal","OK: 15 anchors, drift +49.4 ± 229.4 ppm, residual 18 ms",15,49.4,17.9,gap 73 min after previous
SF07,5_20260901_075052.875,64,2026-09-01 07:50:52.875,2026-09-01 12:54:26,18214.746,0.15,4_20260901_074925.529,glitchy,16.63,1.0,"normal,normal,normal,normal,normal",OK (chained next:8): drift -21.4 ± 82 ppm; start offset known to BLE precision,13,-21.4,,
SF07,6_20260901_125442.165,64,2026-09-01 12:54:42.165,2026-09-01 17:11:59,15437.517,0.25,5_20260901_075052.875,glitchy,21.1,1.0,"normal,normal,normal,normal,normal",OK (chained next:7): drift +141.6 ± 97 ppm; start offset known to BLE precision,17,141.6,,
SF07,7_20260901_171210.814,64,2026-09-01 17:12:10.814,2026-09-01 18:19:42,4052.851,0.17,6_20260901_125442.165,ambiguous,9.07,0.787,"normal,normal,normal,normal,normal","start cluster only (7 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",10,,,
SF07,8_20260901_192830.797,65,2026-09-01 19:28:30.797,2026-09-01 19:29:02,32.333,68.79,7_20260901_171210.814,clean,0.0,1.0,"normal,normal,normal,normal,normal","start cluster only (7 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",7,,,gap 69 min after previous
SF07,9_20260901_192912.215,65,2026-09-01 19:29:12.215,2026-09-01 23:43:19,15247.13,0.16,8_20260901_192830.797,clean,0.0,1.0,"normal,normal,normal,normal,normal","OK: 26 anchors, drift -21.1 ± 1.0 ppm, residual 34 ms",26,-21.1,33.8,
SF07,10_20260901_234332.691,65,2026-09-01 23:43:32.691,2026-09-02 06:22:32,23940.48,0.21,9_20260901_192912.215,clean,0.03,1.0,"normal,normal,normal,normal,normal","OK: 19 anchors, drift -26.5 ± 1.0 ppm, residual 49 ms",19,-26.5,49.3,
SF07,11_20260902_062241.295,65,2026-09-02 06:22:41.295,2026-09-02 07:33:57,4276.006,0.14,10_20260901_234332.691,clean,0.0,1.0,"normal,normal,normal,normal,normal","OK: 10 anchors, drift -15.8 ± 4.6 ppm, residual 25 ms",10,-15.8,25.4,
SF07,12_20260902_074608.443,65,2026-09-02 07:46:08.443,2026-09-02 07:46:15,7.168,12.18,11_20260902_062241.295,clean,0.0,1.0,normal,"start cluster only (3 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",3,,,gap 12 min after previous
SF07,13_20260902_082234.535,65,2026-09-02 08:22:34.535,2026-09-02 08:23:06,32.128,36.31,12_20260902_074608.443,clean,0.0,1.0,"normal,normal,normal,normal,normal","start cluster only (8 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",8,,,gap 36 min after previous
SF07,14_20260902_082315.755,65,2026-09-02 08:23:15.755,2026-09-02 08:24:05,50.97,0.15,13_20260902_082234.535,clean,0.0,1.0,"normal,normal,normal,normal,normal",inconsistent: drift 353.7 ppm,11,353.7,16.7,
SF07,15_20260902_082418.755,65,2026-09-02 08:24:18.755,2026-09-02 16:55:02,30644.557,0.2,14_20260902_082315.755,clean,0.0,1.0,"normal,normal,normal,normal,normal",OK (chained next:9): drift -21.3 ± 49 ppm; start offset known to BLE precision,21,-21.3,,
SF07,16_20260902_165524.033,65,2026-09-02 16:55:24.033,2026-09-02 18:12:49,4645.709,0.36,15_20260902_082418.755,clean,0.07,1.0,"normal,normal,normal,normal,normal","start cluster only (9 anchors, no chainable neighbour): offset known, drift assumed from the logger's other sessions",10,,,
SF08,0_20260831_070148.859,62,2026-08-31 07:01:48.859,2026-08-31 07:12:26,638.822,,,glitchy+broadband,34988.23,0.183,"broadband,wide-impulse,wide-impulse,wide-impulse,normal",CORRUPT SYNC LANES (noise decoded as anchors); no field-PC time,26852,,,BROADBAND noise blow-up (raw std > 2500 ADC): hardware/handling regime; QC before use
SF08,1_20260831_071239.713,62,2026-08-31 07:12:39.713,2026-08-31 07:15:31,172.25,0.2,0_20260831_070148.859,glitchy,2012.73,1.0,"normal,normal,normal,normal,normal",inconsistent: drift 13273.1 ppm,14,13273.1,1854.1,
