animal,root,session,amp_bytes,hours,adc_on,adc_bytes,predicted_card_bytes,sidecars_ok,empty,growing,card_slot,card_record_mb_est,card_plan,card_records,card_total_mb,verdict
SF07,E:\3rd_rat_spikes,1_20260911_091521.524,105807872,0.01148088888888889,False,0,107461120.0,True,False,False,1,114.0,deletable after verified backup,3,86122.52928,SAFE TO FORMAT - 99.964 % of the listing; residual 31.0 MB = record overhead + ~4 s test record not copied
SF07,E:\3rd_rat_spikes,2_20260911_091615.116,84661272576,9.186336,False,0,85984104960.0,True,False,False,2,85990.6,deletable after verified backup,3,86122.52928,SAFE TO FORMAT - 99.964 % of the listing; residual 31.0 MB = record overhead + ~4 s test record not copied
SF08,E:\3rd_rat_spikes,1_20260911_091754.818,78839808,0.008554666666666667,False,0,80071680.0,True,False,False,1,86.6,deletable after verified backup,4,85130.498048,SAFE TO FORMAT - 99.958 % of the listing; residual 36.1 MB = record overhead + ~4 s test record not copied
SF08,E:\3rd_rat_spikes,2_20260911_091844.146,96206848,0.010439111111111113,False,0,97710080.0,True,False,False,2,104.2,deletable after verified backup,4,85130.498048,SAFE TO FORMAT - 99.958 % of the listing; residual 36.1 MB = record overhead + ~4 s test record not copied
SF08,E:\3rd_rat_spikes,3_20260911_091931.245,83610173440,9.072284444444444,False,0,84916582400.0,True,False,False,3,84923.1,deletable after verified backup,4,85130.498048,SAFE TO FORMAT - 99.958 % of the listing; residual 36.1 MB = record overhead + ~4 s test record not copied
SF09,E:\3rd_rat_spikes,1_20260911_092140.430,85524480,0.00928,False,0,86860800.0,True,False,False,1,93.4,deletable after verified backup,3,77126.3616,SAFE TO FORMAT - 99.949 % of the listing; residual 39.0 MB = record overhead + ~7 s test record not copied
SF09,E:\3rd_rat_spikes,2_20260911_092224.167,75815878656,8.226549333333333,False,0,77000501760.0,True,False,False,2,77007.0,deletable after verified backup,3,77126.3616,SAFE TO FORMAT - 99.949 % of the listing; residual 39.0 MB = record overhead + ~7 s test record not copied
SF10,E:\3rd_rat_spikes,1_20260911_092358.028,90210304,0.009788444444444443,False,0,91619840.0,True,False,True,1,98.1,deletable after verified backup,,,no listing
SF10,E:\3rd_rat_spikes,2_20260911_092441.104,1981808640,0.21504,False,0,2012774400.0,False,False,True,2,2019.3,deletable after verified backup,,,no listing
SF12,E:\3rd_rat_spikes,0_20260911_093859.455,189956096,0.020611555555555557,False,0,192924160.0,True,False,True,0,199.4,deletable after verified backup,,,no listing
SF12,E:\3rd_rat_spikes,1_20260911_094501.436,84508672,0.009169777777777778,False,0,85829120.0,True,False,True,1,92.3,deletable after verified backup,,,no listing
SF12,E:\3rd_rat_spikes,2_20260911_094554.396,258375680,0.028035555555555553,False,0,262412800.0,True,False,True,2,268.9,deletable after verified backup,,,no listing
SF12,E:\3rd_rat_spikes,3_20260911_094747.706,1915748352,0.207872,False,0,1945681920.0,False,False,True,3,1952.2,deletable after verified backup,,,no listing
