channel,assumed_group,data_cluster,rejected,lfp_r_to_own_group,lfp_r_to_other_groups,hp_noise_adc_mad
0,0,1,False,0.852,0.842,48.9
1,0,2,False,0.345,0.422,51.9
2,0,1,False,0.834,0.819,51.5
3,0,2,False,0.292,0.384,50.8
4,0,1,False,0.856,0.831,48.0
5,0,1,False,0.808,0.793,53.3
6,0,1,False,0.829,0.8,49.1
7,0,1,False,0.832,0.805,48.0
8,0,1,False,0.832,0.803,52.7
9,0,1,False,0.845,0.817,52.9
10,0,1,False,0.846,0.818,48.0
11,0,1,False,0.826,0.797,55.3
12,0,1,False,0.838,0.817,52.7
13,0,1,False,0.846,0.818,47.2
14,0,3,False,0.722,0.753,56.7
15,0,1,False,0.852,0.829,51.8
16,1,1,False,0.857,0.846,51.6
17,1,3,False,0.722,0.738,54.2
18,1,1,False,0.843,0.831,56.0
19,1,3,False,0.793,0.775,55.9
20,1,0,False,0.758,0.735,46.5
21,1,3,False,0.619,0.626,57.6
22,1,1,False,0.845,0.835,57.0
23,1,1,False,0.855,0.844,48.1
24,1,1,False,0.85,0.838,45.5
25,1,1,False,0.821,0.795,57.2
26,1,1,False,0.849,0.835,47.3
27,1,0,False,0.767,0.746,44.4
28,1,1,False,0.825,0.803,53.8
29,1,1,False,0.819,0.8,48.0
30,1,2,False,0.4,0.434,55.5
31,1,1,False,0.853,0.842,53.9
32,2,-1,True,-0.167,-0.195,7.7
33,2,1,False,0.858,0.826,53.4
34,2,2,False,0.173,0.274,52.8
35,2,1,False,0.827,0.784,57.9
36,2,1,False,0.822,0.793,55.7
37,2,1,False,0.845,0.831,64.8
38,2,1,False,0.853,0.817,55.5
39,2,1,False,0.774,0.758,55.5
40,2,1,False,0.853,0.834,59.3
41,2,1,False,0.86,0.832,53.4
42,2,1,False,0.824,0.819,57.7
43,2,1,False,0.84,0.796,54.8
44,2,1,False,0.857,0.834,55.4
45,2,2,False,0.506,0.557,53.3
46,2,1,False,0.848,0.807,54.5
47,2,1,False,0.769,0.796,55.7
48,3,1,False,0.804,0.84,45.8
49,3,3,False,0.784,0.763,53.2
50,3,1,False,0.801,0.839,54.3
51,3,2,False,0.368,0.312,53.8
52,3,1,False,0.797,0.837,56.7
53,3,3,False,0.76,0.725,45.0
54,3,1,False,0.796,0.837,57.6
55,3,3,False,0.76,0.724,44.8
56,3,1,False,0.809,0.845,51.3
57,3,1,False,0.76,0.796,49.0
58,3,1,False,0.823,0.852,49.6
59,3,1,False,0.796,0.826,55.6
60,3,1,False,0.781,0.827,54.6
61,3,1,False,0.812,0.847,51.7
62,3,2,False,0.452,0.396,53.5
63,3,1,False,0.797,0.84,52.8
