animal,window,session,t0_s,channel,log_delta,log_theta,log_beta,log_gamma,log_ripple,mua_rate_hz,spike_band_mad_adc,ripple_events_per_min,log_ripple_env
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,0,4.4053,4.5259,3.3999,2.7481,2.2088,18.085,57.4245,20.3,1.886
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,1,4.4244,4.4656,3.3726,2.7285,2.2034,16.73,59.4353,21.7,1.8724
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,2,4.4511,4.4816,3.3966,2.7523,2.2161,11.6433,66.1785,22.0,1.9031
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,3,4.4674,4.4966,3.4481,2.8002,2.2168,13.8983,63.897,21.0,1.8921
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,4,4.4264,4.4656,3.3767,2.7307,2.204,16.4217,60.6318,22.2,1.8711
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,5,4.4325,4.4597,3.3835,2.7312,2.2013,15.9033,61.5583,22.5,1.8688
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,6,4.4776,4.4611,3.3902,2.745,2.2078,12.855,63.9212,22.8,1.8891
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,7,4.4152,4.4768,3.3805,2.7329,2.2065,13.6333,64.9657,21.7,1.8815
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,8,4.4451,4.4556,3.3931,2.7411,2.2083,12.445,66.1388,22.7,1.8852
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,9,4.4591,4.4451,3.3808,2.7234,2.2003,14.5833,63.6127,24.0,1.8698
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,10,4.4529,4.4479,3.384,2.7281,2.2023,14.7283,63.0709,23.8,1.8719
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,11,4.4378,4.4959,3.3927,2.7508,2.2203,11.525,68.9386,22.3,1.9046
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,12,4.4631,4.4528,3.3895,2.7381,2.2044,13.1333,63.7496,23.5,1.8843
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,13,4.4215,4.461,3.3815,2.7299,2.2007,16.9333,59.9365,22.6,1.8676
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,14,4.4308,4.4649,3.3804,2.7305,2.2022,16.6,60.0786,22.7,1.8691
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,15,4.4119,4.5203,3.3955,2.7498,2.2193,18.5667,57.7122,20.3,1.8947
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,16,4.4076,4.4936,3.3776,2.7327,2.1998,17.8083,57.1205,20.6,1.8751
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,17,4.4584,4.4811,3.4317,2.7851,2.2139,17.32,59.162,21.3,1.8817
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,18,4.4389,4.4904,3.3911,2.7404,2.2017,17.1867,58.7974,22.4,1.8692
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,19,4.4326,4.5242,3.4001,2.7488,2.2102,18.265,57.1767,20.6,1.8823
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,20,4.4576,4.4707,3.3849,2.733,2.197,17.83,58.3919,22.8,1.8642
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,21,4.4279,4.4974,3.3893,2.739,2.2019,17.345,58.4688,22.4,1.8693
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,22,4.4669,4.4529,3.3776,2.723,2.1919,16.5467,59.0343,23.2,1.8614
SF07,A0 pre-0904 early,8_20260904_080936.435,1800,23,4.4429,4.4808,3.3878,2.736,2.1987,16.68,60.023,22.8,1.865
