animal,pair,from,to,log_theta_corr,log_theta_medabsdiff,log_theta_shift_sites,log_theta_shift_gain,log_gamma_corr,log_gamma_medabsdiff,log_gamma_shift_sites,log_gamma_shift_gain,log_ripple_corr,log_ripple_medabsdiff,log_ripple_shift_sites,log_ripple_shift_gain,mua_rate_hz_corr,mua_rate_hz_medabsdiff,mua_rate_hz_shift_sites,mua_rate_hz_shift_gain,ripple_events_per_min_corr,ripple_events_per_min_medabsdiff,ripple_events_per_min_shift_sites,ripple_events_per_min_shift_gain,spike_band_mad_adc_corr,spike_band_mad_adc_medabsdiff,spike_band_mad_adc_shift_sites,spike_band_mad_adc_shift_gain
SF07,move 09-04 (settled),A pre-0904,B post-0904 +5.3h,0.502,0.029,+0 -1 +3 -2,0.00 0.26 0.42 0.11,0.969,0.014,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.92,0.043,+0 +0 +0 -3,0.00 0.00 0.00 0.03,0.357,0.088,+0 +0 +3 +0,0.00 0.00 0.03 0.00,0.282,0.037,+0 -2 +3 -3,0.00 0.21 0.19 0.69,0.543,2.162,+0 +0 +0 -1,0.00 0.00 0.00 0.08
SF07,move 09-04 (+30 min),A pre-0904,B0 post-0904 +30min,0.983,0.003,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.99,0.012,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.969,0.015,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.825,0.056,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.816,0.021,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.694,1.654,+0 +0 +0 +0,0.00 0.00 0.00 0.00
SF07,move 09-05 (settled),D pre-0905,E post-0905 +4.3h,0.89,0.012,+0 +0 +0 -3,0.00 0.00 0.00 0.81,0.993,0.011,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.963,0.066,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.771,0.082,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.064,0.113,-3 +0 -2 -3,0.57 0.00 0.09 0.20,0.693,1.415,+0 +0 +0 +0,0.00 0.00 0.00 0.00
SF07,move 09-05 (+30 min),D pre-0905,E0 post-0905 +30min,0.98,0.007,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.996,0.009,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.963,0.116,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.892,0.068,+0 +0 +0 +0,0.00 0.00 0.00 0.00,-0.406,0.118,-3 +2 -3 +3,0.33 0.70 0.58 0.11,0.882,0.966,+0 +0 +0 +0,0.00 0.00 0.00 0.00
SF07,move 09-06 (test rec.),E post-0905 +4.3h,F test-0906 12:44,0.785,0.022,+0 +0 +0 -2,0.00 0.00 0.00 0.10,0.985,0.013,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.939,0.058,+0 +0 +0 +2,0.00 0.00 0.00 0.03,0.5,0.059,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.671,0.023,+0 +3 -3 +0,0.00 0.37 0.68 0.00,0.751,2.757,+0 +0 +0 -1,0.00 0.00 0.00 0.14
SF07,control: same session 5 h apart,A0 pre-0904 early,A pre-0904,0.5,0.03,+0 +1 -3 +2,0.00 0.09 0.23 0.08,0.991,0.007,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.922,0.041,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.382,0.067,+3 +0 +0 +0,0.08 0.00 0.00 0.00,0.022,0.03,+2 +2 +1 -3,0.45 0.74 0.37 0.53,0.552,2.369,+0 -2 +0 +0,0.00 0.45 0.00 0.00
SF07,"control: across the night, swap, no move",B post-0904 +5.3h,C night-end 0905 08:24,0.557,0.014,+2 +0 +0 +3,0.04 0.00 0.00 0.16,0.943,0.017,+0 +0 +0 -1,0.00 0.00 0.00 0.07,0.863,0.062,+0 +0 +2 +0,0.00 0.00 0.01 0.00,0.267,0.051,-1 +0 -1 +1,0.21 0.00 0.12 0.12,-0.22,0.084,+1 +1 +1 -2,0.21 0.80 0.49 0.48,0.335,2.757,+0 +0 -1 +0,0.00 0.00 0.17 0.00
SF07,"control: morning swap, no move",C night-end 0905 08:24,D pre-0905,0.632,0.014,+0 +0 +0 +1,0.00 0.00 0.00 0.30,0.976,0.014,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.971,0.071,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.756,0.107,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.854,0.04,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.51,2.676,+0 +0 +0 +3,0.00 0.00 0.00 0.22
SF11,move 09-04 (settled),A pre-0904,B post-0904 +5.5h,0.847,0.045,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.847,0.023,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.543,0.075,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.314,0.141,+1 +0 +0 +3,0.35 0.00 0.00 0.01,0.41,0.169,+0 +0 +0 -3,0.00 0.00 0.00 0.39,0.669,2.097,+0 +0 +0 +0,0.00 0.00 0.00 0.00
SF11,move 09-04 (+30 min),A pre-0904,B0 post-0904 +30min,0.927,0.026,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.959,0.018,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.908,0.034,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.817,0.394,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.908,0.18,+0 +0 +0 +0,0.00 0.00 0.00 0.00,0.862,0.876,+0 +0 +0 +0,0.00 0.00 0.00 0.00
