animal,time,session,hours_since_move1,hours_since_move2,log_gamma_median,log_gamma_shank1_median,log_gamma_shank2_median,log_gamma_shank3_median,log_gamma_shank4_median,log_gamma_r_vs_ref1,log_gamma_shift_vs_ref1,log_gamma_shank_r_vs_ref1,log_gamma_r_vs_ref2,log_gamma_shift_vs_ref2,log_gamma_shank_r_vs_ref2,log_ripple_median,log_ripple_shank1_median,log_ripple_shank2_median,log_ripple_shank3_median,log_ripple_shank4_median,log_ripple_r_vs_ref1,log_ripple_shift_vs_ref1,log_ripple_shank_r_vs_ref1,log_ripple_r_vs_ref2,log_ripple_shift_vs_ref2,log_ripple_shank_r_vs_ref2,log_theta_median,log_theta_shank1_median,log_theta_shank2_median,log_theta_shank3_median,log_theta_shank4_median,log_theta_r_vs_ref1,log_theta_shift_vs_ref1,log_theta_shank_r_vs_ref1,log_theta_r_vs_ref2,log_theta_shift_vs_ref2,log_theta_shank_r_vs_ref2,mua_rate_hz_median,mua_rate_hz_shank1_median,mua_rate_hz_shank2_median,mua_rate_hz_shank3_median,mua_rate_hz_shank4_median,mua_rate_hz_r_vs_ref1,mua_rate_hz_shift_vs_ref1,mua_rate_hz_shank_r_vs_ref1,mua_rate_hz_r_vs_ref2,mua_rate_hz_shift_vs_ref2,mua_rate_hz_shank_r_vs_ref2,spike_band_mad_adc_median,spike_band_mad_adc_shank1_median,spike_band_mad_adc_shank2_median,spike_band_mad_adc_shank3_median,spike_band_mad_adc_shank4_median,spike_band_mad_adc_r_vs_ref1,spike_band_mad_adc_shift_vs_ref1,spike_band_mad_adc_shank_r_vs_ref1,spike_band_mad_adc_r_vs_ref2,spike_band_mad_adc_shift_vs_ref2,spike_band_mad_adc_shank_r_vs_ref2
SF07,2026-09-04 08:30,8_20260904_080936.435,-5.51,-29.02,2.856,2.995,2.906,2.834,2.834,0.994,+0 +0 +0 +0,+0.99 +0.99 +0.96 +0.68,0.985,+0 +0 +0 +0,+0.99 +0.94 +0.82 +0.43,2.526,2.543,2.534,2.52,2.517,0.873,+0 +0 +0 +0,+0.69 +0.82 +0.79 +0.72,0.857,+0 +0 +0 +2,+0.76 +0.80 +0.71 +0.69,4.481,4.51,4.498,4.454,4.487,0.464,+0 -1 +3 -2,+0.87 +0.42 -0.43 -0.33,0.279,+0 -1 +3 -2,+0.79 +0.24 -0.71 -0.89,0.004,-0.007,-0.007,-0.03,0.026,0.304,-2 +2 +0 +0,+0.21 +0.22 +0.63 +0.37,0.275,+0 +1 -3 -1,+0.25 +0.20 -0.01 +0.10,120.66,125.457,122.369,119.955,118.664,0.335,+0 +2 +0 +0,+0.27 -0.23 +0.60 +0.17,0.169,-1 +1 -3 -1,+0.29 -0.12 +0.15 -0.08
SF07,2026-09-04 09:30,8_20260904_080936.435,-4.51,-28.02,2.616,2.745,2.666,2.587,2.615,0.984,+0 +0 +0 +0,+1.00 +0.98 +0.92 +0.74,0.974,+0 +0 +0 +0,+0.99 +0.94 +0.78 +0.63,1.195,1.381,1.281,1.146,1.106,0.963,+0 +0 +0 -3,+0.99 +0.90 +0.82 +0.85,0.932,+0 +0 +0 +0,+0.98 +0.84 +0.52 +0.96,4.672,4.687,4.676,4.659,4.648,0.849,+0 +0 +0 +3,+0.86 +0.82 +0.89 +0.72,0.92,+0 +0 +0 +0,+0.84 +0.88 +0.98 +0.97,1.187,1.343,1.174,1.117,1.204,0.771,+0 +0 +0 -3,+0.85 +0.63 +0.53 -0.09,0.562,+0 -1 -3 +0,+0.62 +0.32 -0.28 +0.23,46.877,49.676,48.246,47.46,44.506,0.559,+0 +2 +0 -3,+0.84 +0.33 +0.68 +0.16,0.098,-3 -1 +0 +0,+0.23 -0.30 +0.43 +0.30
SF07,2026-09-04 10:30,8_20260904_080936.435,-3.52,-27.02,2.598,2.731,2.642,2.575,2.597,0.985,+0 +0 +0 +0,+1.00 +0.99 +0.92 +0.64,0.977,+0 +0 +0 +0,+1.00 +0.95 +0.85 +0.53,1.1,1.313,1.187,1.058,0.99,0.959,+0 +0 +0 -3,+0.99 +0.91 +0.79 +0.82,0.938,+0 +0 +0 +0,+0.97 +0.85 +0.61 +0.95,4.718,4.743,4.719,4.703,4.685,0.785,+0 +0 +0 +3,+0.75 +0.53 +0.84 +0.66,0.884,+0 +0 +0 +0,+0.82 +0.66 +0.97 +0.98,0.462,1.067,0.408,0.405,0.457,0.846,+0 +0 +0 -1,+0.88 +0.76 +0.42 +0.09,0.654,+1 -1 -3 -1,+0.67 +0.41 -0.12 +0.22,43.352,46.181,43.548,42.775,41.026,0.569,+0 +0 +0 -3,+0.85 +0.46 +0.67 +0.05,0.069,-2 -1 +2 -1,+0.29 -0.25 +0.16 +0.11
SF07,2026-09-04 11:30,8_20260904_080936.435,-2.52,-26.02,2.665,2.815,2.722,2.638,2.649,0.985,+0 +0 +0 +0,+0.95 +0.99 +0.97 +0.63,0.973,+0 +0 +0 +0,+0.94 +0.93 +0.86 +0.44,1.756,1.817,1.78,1.735,1.729,0.924,+0 +0 +0 +0,+0.78 +0.91 +0.91 +0.87,0.85,+2 +0 +0 +2,+0.69 +0.69 +0.69 +0.90,4.56,4.59,4.564,4.55,4.548,0.978,+0 +0 +0 +0,+0.94 +0.99 +0.96 +0.91,0.954,+0 +0 +0 -2,+0.96 +0.94 +0.98 +0.90,0.296,0.305,0.282,0.286,0.301,0.502,-3 +0 -1 +0,+0.31 +0.72 +0.27 +0.42,0.328,+1 +0 +2 +3,+0.14 +0.51 -0.21 -0.21,84.179,88.434,86.367,82.987,82.717,0.575,+0 +0 +0 +0,+0.69 +0.53 +0.68 +0.14,0.203,-2 +1 +3 +3,+0.03 +0.18 +0.11 -0.41
SF07,2026-09-04 12:30,8_20260904_080936.435,-1.51,-25.02,2.647,2.775,2.687,2.621,2.644,0.989,+0 +0 +0 +0,+1.00 +0.99 +0.98 +0.74,0.978,+0 +0 +0 +0,+0.99 +0.95 +0.82 +0.57,1.171,1.359,1.232,1.11,1.082,0.978,+0 +0 +0 +0,+0.97 +0.94 +0.97 +0.91,0.925,+0 +0 +2 +0,+0.93 +0.89 +0.47 +0.89,4.647,4.672,4.65,4.633,4.623,0.949,+0 +0 +0 +2,+0.98 +0.92 +0.93 +0.80,0.989,+0 +0 +0 +0,+0.99 +0.96 +0.99 +0.97,0.877,1.025,0.863,0.868,0.875,0.842,+0 +0 +0 +0,+0.94 +0.79 +0.59 +0.65,0.487,+1 +0 -3 -1,+0.53 +0.38 -0.10 -0.25,52.811,55.733,52.811,49.93,50.724,0.796,+0 +0 +0 +0,+0.94 +0.76 +0.89 +0.51,0.158,-2 +0 +2 +3,+0.02 +0.21 +0.10 -0.29
SF07,2026-09-04 13:30,8_20260904_080936.435,-0.52,-24.02,2.655,2.802,2.707,2.632,2.643,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.988,+0 +0 +0 +0,+0.99 +0.94 +0.85 +0.62,1.435,1.523,1.461,1.408,1.399,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.933,+0 +0 +2 +3,+0.97 +0.85 +0.57 +0.81,4.554,4.581,4.559,4.542,4.538,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.954,+0 +0 +0 -2,+0.99 +0.96 +0.93 +0.68,0.355,1.073,0.332,0.355,0.296,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.704,+1 +0 -3 -1,+0.60 +0.55 +0.02 +0.15,44.206,45.644,44.791,41.779,42.943,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.279,-2 +0 +2 +3,+0.11 +0.41 +0.25 -0.26
SF07,2026-09-04 14:30,11_20260904_140054.476,0.48,-23.02,2.617,2.748,2.648,2.578,2.608,0.99,+0 +0 +0 +0,+1.00 +0.99 +0.99 +0.84,0.978,+0 +0 +0 +0,+0.99 +0.96 +0.89 +0.59,1.257,1.417,1.313,1.165,1.19,0.977,+0 +0 +0 +0,+0.99 +0.93 +0.95 +0.95,0.933,+0 +0 +0 +3,+0.97 +0.92 +0.67 +0.73,4.643,4.666,4.644,4.629,4.62,0.938,+0 +0 +0 +2,+0.98 +0.85 +0.88 +0.80,0.982,+0 +0 +0 +0,+0.99 +0.90 +0.98 +0.96,1.044,1.18,0.976,1.042,1.03,0.703,+0 +0 +3 +0,+0.76 +0.66 +0.53 +0.64,0.512,+2 +0 -3 -1,+0.51 +0.48 -0.10 +0.27,48.604,51.875,51.062,46.608,48.095,0.7,+0 +0 +0 +0,+0.76 +0.44 +0.89 +0.77,0.35,-1 +0 +3 -2,+0.32 +0.53 +0.28 -0.11
SF07,2026-09-04 15:30,11_20260904_140054.476,1.49,-22.02,2.639,2.791,2.676,2.609,2.614,0.994,+0 +0 +0 +0,+1.00 +0.99 +0.99 +0.68,0.983,+0 +0 +0 +0,+0.99 +0.94 +0.86 +0.74,1.151,1.256,1.176,1.079,1.115,0.935,+0 +0 +0 +0,+0.95 +0.92 +0.88 +0.67,0.866,+0 +0 +2 +2,+0.90 +0.81 +0.37 +0.66,4.758,4.804,4.761,4.729,4.73,0.935,+0 +0 +0 -2,+0.97 +0.92 +0.44 +0.01,0.802,+0 +0 +0 -2,+0.94 +0.82 +0.14 -0.69,0.67,0.985,0.618,0.689,0.665,0.759,+0 +0 +3 -1,+0.80 +0.54 +0.17 +0.04,0.538,+1 +0 -3 -1,+0.31 +0.46 -0.11 +0.28,46.438,50.583,48.022,43.942,44.306,0.567,+0 +1 +0 -1,+0.63 +0.31 +0.79 +0.17,0.327,-1 +0 -3 +0,+0.12 +0.36 +0.15 +0.35
SF07,2026-09-04 16:30,11_20260904_140054.476,2.48,-21.02,2.638,2.781,2.679,2.604,2.627,0.988,+0 +0 +0 +0,+0.99 +0.97 +0.89 +0.58,0.976,+0 +0 +0 +0,+0.98 +0.93 +0.80 +0.73,1.411,1.518,1.44,1.372,1.362,0.939,+0 +0 +0 -1,+0.94 +0.88 +0.59 +0.75,0.901,+0 +0 +0 +0,+0.88 +0.83 +0.50 +0.79,4.613,4.636,4.614,4.599,4.588,0.884,+0 +0 +0 +3,+0.91 +0.68 +0.86 +0.76,0.95,+0 +0 +0 +0,+0.96 +0.77 +0.94 +0.96,1.121,1.124,1.083,1.122,1.154,0.391,+0 +0 -3 -1,+0.54 +0.47 +0.40 +0.04,0.231,-1 +0 -3 -1,+0.31 +0.44 -0.12 -0.15,68.601,71.872,70.587,65.452,65.991,0.581,+0 +0 +0 -3,+0.82 +0.50 +0.77 +0.08,0.406,-1 +0 +0 +0,+0.15 +0.38 +0.41 +0.35
SF07,2026-09-04 17:30,11_20260904_140054.476,3.48,-20.02,2.64,2.774,2.68,2.607,2.639,0.983,+0 +0 +0 -1,+0.99 +0.95 +0.91 +0.14,0.971,+0 +0 +0 +2,+0.99 +0.94 +0.72 +0.40,1.087,1.266,1.191,0.958,0.976,0.925,+0 +0 +0 -1,+0.99 +0.77 +0.84 +0.68,0.883,+0 +0 +2 +2,+0.96 +0.81 +0.34 +0.65,4.667,4.692,4.665,4.656,4.639,0.761,+0 +0 +0 +3,+0.78 +0.46 +0.80 +0.62,0.872,+0 +0 +0 +0,+0.86 +0.60 +0.94 +0.97,-1.109,0.549,-1.464,-1.358,-1.162,0.775,+0 +0 +0 -1,+0.89 +0.66 +0.64 +0.24,0.622,+1 -1 -3 +0,+0.52 +0.40 +0.06 +0.51,42.569,44.887,45.422,41.099,40.812,0.574,+0 +0 +0 -1,+0.77 +0.47 +0.83 +0.21,0.374,-1 +0 +3 +0,+0.13 +0.46 +0.38 +0.14
