written_utc,animal,session,firmware,deglitched,partition,sorter,n_sorter_dirs,n_post_dirs,bad_channels,elapsed_s,local_output_dir,repo_git
2026-09-02T22:47:37+00:00,SF10,5_20260901_054403.494,64,True,shank,kilosort4,4,4,32 34 60 62,270.0,G:\Field2026_analysis_out\2026c\ephys_sort\SF10\5_20260901_054403.494,2fbb2cf+dirty
2026-09-02T23:05:26+00:00,SF08,2_20260901_002327.839__w3600s_600s,64,True,shank,kilosort4,4,4,32,1003.8,G:\Field2026_analysis_out\2026c\ephys_sort\SF08\2_20260901_002327.839__w3600s_600s,2fbb2cf+dirty
2026-09-04T09:19:12+00:00,SF07,15_20260902_082418.755,65,False,shank,kilosort4,4,4,,32727.2,E:\3rd_rat_spikes\analysis\sort\SF07\15_20260902_082418.755,94ef5a6+dirty
2026-09-04T15:33:52+00:00,SF08,13_20260902_082748.094,65,False,shank,kilosort4,4,4,32,22472.8,E:\3rd_rat_spikes\analysis\sort\SF08\13_20260902_082748.094,94ef5a6+dirty
2026-09-04T21:02:00+00:00,SF09,10_20260902_083015.335,65,False,shank,kilosort4,7,7,1 2 3 4 5 6 7 11 12 13 14 15 21 22 25 32 33 36 47 49 51 52 54 55 56 58 59 60 62 63,19680.1,E:\3rd_rat_spikes\analysis\sort\SF09\10_20260902_083015.335,9c82df8
2026-09-05T10:27:56+00:00,SF10,9_20260902_083247.835,65,False,shank,kilosort4,4,4,32 34 56,48348.3,E:\3rd_rat_spikes\analysis\sort\SF10\9_20260902_083247.835,43259ca+dirty
2026-09-07T02:45:38+00:00,SF11,12_20260902_083534.755,65,False,shank,kilosort4,4,4,,16551.6,E:\3rd_rat_spikes\analysis\sort\SF11\12_20260902_083534.755,169745d+dirty
2026-09-08T04:23:23+00:00,SF10,9_20260902_083247.835,,,"shank (resort 2 3, A180)",kilosort4,2,1,32 34 56,3498.8,E:\3rd_rat_spikes\analysis\sort\SF10\9_20260902_083247.835,60f3478+dirty
2026-09-08T04:38:40+00:00,SF10,9_20260902_083247.835,,,"shank (resort 2 3, A180post)",kilosort4,0,3,32 34 56,666.5,E:\3rd_rat_spikes\analysis\sort\SF10\9_20260902_083247.835,60f3478+dirty
2026-09-08T09:53:07+00:00,SF12,11_20260902_083748.804,65,False,shank,kilosort4,4,4,,19728.8,E:\3rd_rat_spikes\analysis\sort\SF12\11_20260902_083748.804,60f3478+dirty
2026-09-08T14:12:11+00:00,SF09,10_20260902_083015.335,65,False,shank,kilosort4,5,5,2 4 32 36 52 54 56 58 60 62,15525.4,E:\3rd_rat_spikes\analysis\sort\SF09\10_20260902_083015.335,60f3478+dirty
2026-09-08T16:33:07+00:00,SF10,1_20260901_080143.036,64,True,shank,kilosort4,3,3,2 32 34 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,5827.4,E:\3rd_rat_spikes\analysis\sort\SF10\1_20260901_080143.036,60f3478+dirty
2026-09-08T20:24:16+00:00,SF07,2_20260901_002100.939,64,True,shank,kilosort4,4,4,,11005.9,E:\3rd_rat_spikes\analysis\sort\SF07\2_20260901_002100.939,60f3478+dirty
